iter	Accuracy	MultiClass
0	0.4484742371	1.56474541
1	0.4874103719	1.522023715
2	0.4902451226	1.486571858
3	0.4902451226	1.454657771
4	0.4902451226	1.427073107
5	0.4901617475	1.404863976
6	0.4902451226	1.386137033
7	0.4901617475	1.362766497
8	0.4901617475	1.344298883
9	0.4900783725	1.327656535
10	0.4902451226	1.31309323
11	0.4905786226	1.299513342
12	0.4904952476	1.288896119
13	0.4910788728	1.274324051
14	0.5143405036	1.258626585
15	0.5139236285	1.24934317
16	0.5271802568	1.23593828
17	0.5269301317	1.22646745
18	0.5271802568	1.216908466
19	0.5260963815	1.2107155
20	0.5255961314	1.204940626
21	0.5304318826	1.191173402
22	0.5348507587	1.177239451
23	0.5436885109	1.165989137
24	0.5488577622	1.154395649
25	0.5491078873	1.148707152
26	0.5505252626	1.139313925
27	0.5528597632	1.132652767
28	0.5536935134	1.124225909
29	0.5528597632	1.116139047
30	0.5522761381	1.110563189
31	0.5566950142	1.101196855
32	0.5582791396	1.096339277
33	0.560196765	1.091492924
34	0.5633650158	1.083971418
35	0.5655327664	1.076752844
36	0.5655327664	1.07491623
37	0.5672002668	1.068325896
38	0.5682841421	1.063218211
39	0.5694513924	1.060086225
40	0.5709521427	1.056542387
41	0.5698682675	1.053164876
42	0.5712022678	1.049484689
43	0.5723695181	1.044610279
44	0.5732866433	1.039835093
45	0.5737868934	1.036283093
46	0.5757045189	1.031922933
47	0.5750375188	1.029486324
48	0.5766216442	1.027204611
49	0.5768717692	1.026010556
50	0.5781223945	1.022895131
51	0.5792062698	1.021257362
52	0.5808737702	1.019169547
53	0.5814573954	1.017036132
54	0.5835417709	1.015242033
55	0.5855427714	1.013636214
56	0.5856261464	1.011266077
57	0.5872102718	1.009481231
58	0.5877105219	1.007510056
59	0.5883775221	1.005196376
60	0.5897115224	1.003454723
61	0.5912122728	1.002105279
62	0.591879273	1.000378528
63	0.5931298983	0.9987670475
64	0.5936301484	0.997833911
65	0.5946306487	0.9967584291
66	0.5952976488	0.9933474521
67	0.5956311489	0.9925499203
68	0.595964649	0.9902587441
69	0.5962147741	0.9893576483
70	0.5957978989	0.9884757285
71	0.5962147741	0.9878448955
72	0.5967150242	0.9869651978
73	0.5967150242	0.9863973145
74	0.5974653994	0.9854628312
75	0.5974653994	0.9848475714
76	0.5976321494	0.9832037748
77	0.5992162748	0.9820789742
78	0.6003001501	0.981202311
79	0.6010505253	0.9799677627
80	0.6015507754	0.9788469852
81	0.6022177756	0.9763141966
82	0.6025512756	0.974077747
83	0.6030515258	0.9734659426
84	0.6023845256	0.9729967956
85	0.6030515258	0.9725497667
86	0.6037185259	0.9716122269
87	0.6045522761	0.9706615404
88	0.6053026513	0.969836764
89	0.6058029015	0.9691405018
90	0.6063865266	0.9686155282
91	0.6063865266	0.968252507
92	0.6061364015	0.9677439548
93	0.6063865266	0.9675857422
94	0.6063031516	0.9670047926
95	0.6065532766	0.9666388176
96	0.6067200267	0.9660135086
97	0.607803902	0.9654495393
98	0.607803902	0.9648518856
99	0.607803902	0.9641614675
100	0.6075537769	0.9638387313
101	0.6082207771	0.9634928961
102	0.6090545273	0.962824798
103	0.6092212773	0.9625024923
104	0.6093046523	0.9619548536
105	0.6099716525	0.9616188718
106	0.6095547774	0.9609730021
107	0.6098882775	0.9605015749
108	0.6094714024	0.9600974849
109	0.6091379023	0.9590082587
110	0.6094714024	0.9580120434
111	0.6097215274	0.9575207417
112	0.6102217776	0.9570459089
113	0.6108054027	0.9566642167
114	0.6115557779	0.9560513285
115	0.6115557779	0.9555788367
116	0.6112222778	0.9536918685
117	0.6108887777	0.9532806003
118	0.6106386527	0.9526557546
119	0.6114724029	0.9521710251
120	0.6113890278	0.952090021
121	0.611972653	0.9516058392
122	0.611972653	0.9513242923
123	0.6124729031	0.9510712491
124	0.6125562781	0.9506103665
125	0.6125562781	0.9505519566
126	0.6133066533	0.9500932861
127	0.6136401534	0.949709639
128	0.6135567784	0.9493420928
129	0.6136401534	0.948955581
130	0.6143071536	0.9485094155
131	0.6146406537	0.9481148478
132	0.6145572786	0.9479279822
133	0.6144739036	0.9472813811
134	0.6145572786	0.9463398228
135	0.615891279	0.9460501512
136	0.615974654	0.9455427243
137	0.6163915291	0.9451473253
138	0.6173920293	0.9446633433
139	0.6175587794	0.9443112037
140	0.6177255294	0.9436132991
141	0.6178922795	0.943232125
142	0.6180590295	0.9427707777
143	0.6181424045	0.9422261311
144	0.6188927797	0.941940541
145	0.6189761547	0.9416892893
146	0.6195597799	0.9413930363
147	0.6193096548	0.9409759497
148	0.6193096548	0.9406796734
149	0.6189761547	0.9405188577
150	0.6192262798	0.9400703095
151	0.6188927797	0.9399179695
152	0.6189761547	0.9395823279
153	0.619976655	0.9392030826
154	0.6205602801	0.9388551803
155	0.6208104052	0.9384388298
156	0.6208104052	0.9382356809
157	0.6208937802	0.9380755972
158	0.6209771552	0.9379089054
159	0.6211439053	0.9362346559
160	0.6211439053	0.9357904219
161	0.6208937802	0.9352625859
162	0.6213106553	0.9349142099
163	0.6224779056	0.9345326702
164	0.6226446557	0.9343297895
165	0.6223945306	0.9339268222
166	0.6229781557	0.9334898044
167	0.6233116558	0.9331968928
168	0.6237285309	0.9315331438
169	0.6234784059	0.9308468584
170	0.6232282808	0.9306312294
171	0.623811906	0.9304658036
172	0.624062031	0.9299115532
173	0.6242287811	0.9297207661
174	0.6250625313	0.9294238167
175	0.6251459063	0.9289699324
176	0.6261464065	0.9285686453
177	0.6263965316	0.9282494642
178	0.6263965316	0.9281652235
179	0.6263965316	0.9280422975
180	0.6263965316	0.927717273
181	0.6265632816	0.9275366516
182	0.6267300317	0.9269208917
183	0.6266466567	0.9266804084
184	0.6274804069	0.9247091978
185	0.628064032	0.9242207967
186	0.6283141571	0.9231340664
187	0.6282307821	0.9228889618
188	0.6283141571	0.9224508987
189	0.6287310322	0.9223009617
190	0.6287310322	0.9220997726
191	0.6288144072	0.9217211408
192	0.6291479073	0.920149852
193	0.6292312823	0.9198579169
194	0.6298149075	0.9194371879
195	0.6299816575	0.9192159035
196	0.6300650325	0.9190230138
197	0.6301484075	0.9186212854
198	0.6307320327	0.9183247627
199	0.6309821577	0.9177605041
200	0.6305652826	0.917092765
201	0.6308987827	0.9168941827
202	0.6311489078	0.9165818662
203	0.6313990328	0.9160267746
204	0.6313156578	0.9158550781
205	0.631815908	0.9153332631
206	0.6317325329	0.9148243938
207	0.631899283	0.9146824651
208	0.631982658	0.914269411
209	0.6317325329	0.9134978045
210	0.631982658	0.913157302
211	0.632149408	0.9130090482
212	0.6323995331	0.9125141949
213	0.6324829081	0.9123286271
214	0.6325662831	0.9119405367
215	0.6323995331	0.9117247563
216	0.6323161581	0.9115436141
217	0.6328164082	0.9112789935
218	0.6325662831	0.9111498397
219	0.6325662831	0.9110402494
220	0.6326496582	0.910840064
221	0.6331499083	0.910271921
222	0.6331499083	0.9086355246
223	0.6333166583	0.9083998688
224	0.6337335334	0.9067158717
225	0.6334834084	0.9064467773
226	0.6342337836	0.9060466908
227	0.6339836585	0.9055033227
228	0.6347340337	0.9050782376
229	0.6348174087	0.9049437416
230	0.6352342838	0.9045369535
231	0.6352342838	0.90426247
232	0.6355677839	0.9039056308
233	0.635817909	0.9036620851
234	0.6362347841	0.9033970015
235	0.6369851592	0.9031322671
236	0.6370685343	0.9025414561
237	0.6374854094	0.9022160909
238	0.6377355344	0.9007567862
239	0.6374854094	0.9004440233
240	0.6384025346	0.9000409343
241	0.6385692846	0.8996308734
242	0.6387360347	0.8995307264
243	0.6385692846	0.8990342797
244	0.6386526597	0.8988684709
245	0.6393196598	0.8985529127
246	0.6389861597	0.8984141331
247	0.6396531599	0.8979566359
248	0.6402367851	0.8975868927
249	0.6397365349	0.8973681533
250	0.6395697849	0.8964041127
251	0.640070035	0.8959436989
252	0.6403201601	0.8954635709
253	0.6405702851	0.8952310302
254	0.6410705353	0.8944310159
255	0.6414040354	0.8941584556
256	0.6414040354	0.8938823452
257	0.6412372853	0.8934803612
258	0.6411539103	0.8931199609
259	0.6419042855	0.8928037717
260	0.6421544105	0.8924349487
261	0.6421544105	0.8923444337
262	0.6423211606	0.8919684183
263	0.6428214107	0.891585296
264	0.6429047857	0.8909490737
265	0.6431549108	0.8907977887
266	0.6430715358	0.8901845186
267	0.6433216608	0.8898169175
268	0.6434050359	0.8895422826
269	0.643821911	0.8891567394
270	0.6436551609	0.8888113396
271	0.6437385359	0.8883739005
272	0.6442387861	0.8881059991
273	0.644155411	0.8880024109
274	0.6444055361	0.8879034616
275	0.6442387861	0.8869068474
276	0.6449057862	0.886477671
277	0.6449057862	0.8858689893
278	0.6449057862	0.8856086372
279	0.6448224112	0.8855519123
280	0.6455727864	0.8846740211
281	0.6462397866	0.8844979733
282	0.6462397866	0.8841750042
283	0.6460730365	0.883883356
284	0.6460730365	0.8836612953
285	0.6467400367	0.8833514642
286	0.6469067867	0.8831305705
287	0.6471569118	0.882967019
288	0.6472402868	0.8828775015
289	0.6476571619	0.8826427467
290	0.6474070369	0.8822232066
291	0.6477405369	0.8809930305
292	0.6476571619	0.8807679027
293	0.6474070369	0.8805614351
294	0.6477405369	0.8801023874
295	0.6483241621	0.8798680655
296	0.647990662	0.8796417145
297	0.6487410372	0.8791849365
298	0.6494080374	0.8788668089
299	0.6504085376	0.8784949178
300	0.6504085376	0.8784555514
301	0.6503251626	0.8783974747
302	0.6508254127	0.8777569606
303	0.6514924129	0.8773937238
304	0.651992663	0.8771531592
305	0.651909288	0.8766422727
306	0.652159413	0.8765052086
307	0.6524929131	0.8761698782
308	0.6524929131	0.8759904526
309	0.6533266633	0.8755625046
310	0.6534100384	0.8750757595
311	0.6539102885	0.8748485074
312	0.6535767884	0.8744591534
313	0.6541604135	0.8741971367
314	0.6542437886	0.8735645286
315	0.6541604135	0.8733068195
316	0.6542437886	0.872833933
317	0.6548274137	0.8725513743
318	0.6550775388	0.872289853
319	0.6554944139	0.8719886252
320	0.6556611639	0.8716426155
321	0.6556611639	0.8713707864
322	0.656078039	0.8710587307
323	0.6569117892	0.8706206902
324	0.6571619143	0.8701959885
325	0.6574954144	0.8697922639
326	0.6572452893	0.8697006213
327	0.6575787894	0.8694901539
328	0.6575787894	0.869342251
329	0.6571619143	0.8691085983
330	0.6578289145	0.8688263783
331	0.6578289145	0.8680757095
332	0.6578289145	0.8677474244
333	0.6586626647	0.8671359199
334	0.6587460397	0.8668478801
335	0.6591629148	0.8667420028
336	0.6591629148	0.8665293269
337	0.6588294147	0.8663449243
338	0.6590795398	0.8661148147
339	0.659829915	0.8657018495
340	0.6597465399	0.865329166
341	0.66008004	0.8650915039
342	0.6604135401	0.8649169767
343	0.6604135401	0.8646968445
344	0.6612472903	0.8644709641
345	0.6614140404	0.864118929
346	0.6615807904	0.8638470195
347	0.6619142905	0.8636936304
348	0.6616641654	0.8634807373
349	0.6615807904	0.8632140484
350	0.6609137902	0.8630569741
351	0.6619142905	0.8625255108
352	0.6620810405	0.8622178044
353	0.6623311656	0.8619237677
354	0.6626646657	0.8618181195
355	0.6625812906	0.8616807372
356	0.6621644155	0.8612942747
357	0.6622477906	0.8612778307
358	0.6624145406	0.8611481219
359	0.6621644155	0.8608427104
360	0.6624979156	0.8605196427
361	0.6624145406	0.8601409669
362	0.6629981657	0.8597132491
363	0.6629981657	0.8594102023
364	0.663831916	0.859094126
365	0.6633316658	0.8589563296
366	0.663915291	0.8586322908
367	0.6634150409	0.8584143584
368	0.6631649158	0.8582334462
369	0.663998666	0.8579082474
370	0.664082041	0.8578256997
371	0.6644155411	0.8577511474
372	0.6643321661	0.8575187813
373	0.6645822911	0.857324701
374	0.6644989161	0.8571945779
375	0.6647490412	0.8570753063
376	0.6653326663	0.8568992997
377	0.6654994164	0.8564026616
378	0.6657495414	0.8562509956
379	0.6659162915	0.8559707192
380	0.6660830415	0.855803381
381	0.6665832916	0.8555724128
382	0.6666666667	0.855463519
383	0.6669167917	0.8553406514
384	0.6668334167	0.855177509
385	0.6663331666	0.8549775479
386	0.6661664165	0.8548464645
387	0.6660830415	0.854566724
388	0.6664165416	0.8543061607
389	0.6666666667	0.8542556961
390	0.6664999166	0.8541324742
391	0.6663331666	0.8540152278
392	0.6664165416	0.853910324
393	0.6670001668	0.8535090486
394	0.6667500417	0.8532493195
395	0.6671669168	0.8531070819
396	0.6676671669	0.8527090653
397	0.6677505419	0.8525004782
398	0.6676671669	0.8522584586
399	0.6672502918	0.8520744614
400	0.668167417	0.8518675247
401	0.6687510422	0.8514450993
402	0.6685842921	0.8513942527
403	0.6683341671	0.851309988
404	0.6688344172	0.8509877918
405	0.6688344172	0.8503409078
406	0.6691679173	0.8501772232
407	0.6689177922	0.8501077508
408	0.6693346673	0.8499029154
409	0.6699182925	0.8496122853
410	0.6700016675	0.8494891953
411	0.6696681674	0.8492714526
412	0.6695847924	0.8491266584
413	0.6697515424	0.8490156573
