iter	Passed	Remaining
0	955	955042
1	1194	596235
2	1331	442590
3	1499	373323
4	1677	333805
5	1732	287031
6	1780	252544
7	1924	238638
8	2113	232731
9	2237	221522
10	2352	211490
11	2611	215040
12	2667	202546
13	2781	195869
14	2892	189951
15	3028	186228
16	3152	182315
17	3267	178234
18	3395	175329
19	3446	168878
20	3556	165819
21	3662	162829
22	3773	160291
23	3868	157320
24	3980	155228
25	4046	151569
26	4145	149408
27	4262	147959
28	4367	146247
29	4469	144504
30	4567	142781
31	4671	141315
32	4776	139973
33	4895	139082
34	5039	138959
35	5140	137655
36	5198	135313
37	5300	134188
38	5447	134243
39	5552	133269
40	5702	133376
41	5811	132550
42	5913	131603
43	6021	130820
44	6121	129920
45	6233	129269
46	6341	128589
47	6451	127945
48	6549	127121
49	6668	126698
50	6776	126088
51	6888	125581
52	6996	125017
53	7122	124776
54	7238	124369
55	7356	124010
56	7472	123623
57	7591	123290
58	7703	122863
59	7821	122539
60	7937	122179
61	8039	121627
62	8158	121346
63	8303	121434
64	8400	120844
65	8516	120517
66	8662	120634
67	8772	120230
68	8892	119986
69	9009	119697
70	9124	119385
71	9236	119048
72	9347	118703
73	9495	118821
74	9620	118654
75	9737	118390
76	9851	118095
77	9970	117861
78	10081	117529
79	10239	117759
80	10348	117412
81	10494	117490
82	10604	117159
83	10727	116983
84	10860	116910
85	10991	116821
86	11096	116446
87	11228	116368
88	11347	116147
89	11445	115723
90	11561	115488
91	11687	115346
92	11813	115210
93	11912	114815
94	12021	114522
95	12110	114040
96	12222	113783
97	12333	113516
98	12455	113361
99	12541	112875
100	12637	112482
101	12754	112290
102	12889	112254
103	13042	112365
104	13173	112284
105	13311	112266
106	13450	112254
107	13590	112244
108	13737	112295
109	13896	112431
110	14095	112891
111	14245	112949
112	14410	113117
113	14514	112802
114	14633	112617
115	14744	112362
116	14869	112223
117	14997	112100
118	15106	111841
119	15216	111587
120	15254	110816
121	15346	110441
122	15473	110324
123	15589	110129
124	15716	110016
125	15846	109921
126	15968	109765
127	16075	109512
128	16203	109402
129	16343	109377
130	16471	109265
131	16581	109039
132	16742	109139
133	16878	109079
134	17001	108933
135	17109	108698
136	17233	108559
137	17333	108268
138	17447	108071
139	17559	107864
140	17698	107824
141	17824	107701
142	18020	107996
143	18156	107928
144	18271	107737
145	18418	107734
146	18574	107785
147	18703	107671
148	18831	107555
149	18991	107615
150	19116	107481
151	19248	107385
152	19367	107214
153	19511	107185
154	19664	107202
155	19791	107077
156	19909	106905
157	20108	107161
158	20260	107163
159	20408	107143
160	20611	107409
161	20855	107882
162	21108	108390
163	21312	108643
164	21464	108623
165	21607	108558
166	21747	108475
167	21881	108366
168	22046	108407
169	22160	108193
170	22298	108104
171	22466	108154
172	22674	108392
173	22863	108535
174	23027	108556
175	23183	108538
176	23370	108666
177	23511	108574
178	23681	108617
179	23825	108538
180	24037	108766
181	24191	108729
182	24319	108572
183	24456	108457
184	24590	108333
185	24761	108363
186	24896	108238
187	25031	108113
188	25234	108279
189	25364	108133
190	25490	107965
191	25663	108002
192	25831	108008
193	26048	108220
194	26230	108284
195	26427	108408
196	26636	108574
197	26895	108940
198	27038	108832
199	27166	108665
200	27292	108492
201	27430	108364
202	27571	108247
203	27716	108149
204	27863	108055
205	28080	108233
206	28223	108123
207	28352	107956
208	28505	107885
209	28705	107985
210	28950	108254
211	29085	108110
212	29224	107981
213	29356	107824
214	29487	107662
215	29605	107457
216	29792	107500
217	29972	107514
218	30137	107477
219	30354	107620
220	30529	107612
221	30693	107564
222	30897	107656
223	31056	107589
224	31248	107634
225	31408	107565
226	31579	107535
227	31729	107435
228	31881	107340
229	32025	107216
230	32186	107148
231	32320	106992
232	32453	106830
233	32613	106761
234	32753	106621
235	32897	106498
236	33046	106391
237	33179	106229
238	33311	106068
239	33449	105922
240	33586	105777
241	33731	105655
242	33870	105512
243	34028	105432
244	34156	105259
245	34285	105086
246	34448	105018
247	34581	104861
248	34725	104733
249	34869	104608
250	35026	104520
251	35195	104470
252	35343	104354
253	35489	104233
254	35632	104103
255	35789	104013
256	35952	103940
257	36097	103816
258	36260	103742
259	36425	103672
260	36586	103592
261	36744	103500
262	36878	103343
263	37026	103225
264	37166	103083
265	37302	102931
266	37446	102802
267	37593	102682
268	37747	102577
269	37883	102425
270	38037	102322
271	38167	102154
272	38297	101986
273	38420	101801
274	38551	101636
275	38695	101506
276	38843	101385
277	38995	101275
278	39143	101156
279	39284	101016
280	39445	100929
281	39565	100737
282	39714	100619
283	39853	100475
284	39996	100341
285	40137	100204
286	40270	100044
287	40430	99953
288	40582	99842
289	40722	99699
290	40858	99549
291	40999	99408
292	41147	99288
293	41285	99140
294	41434	99021
295	41594	98927
296	41734	98786
297	41884	98667
298	42044	98572
299	42201	98470
300	42348	98345
301	42492	98211
302	42649	98108
303	42799	97987
304	42951	97874
305	43095	97739
306	43221	97564
307	43355	97408
308	43501	97279
309	43683	97231
310	44003	97486
311	44146	97349
312	44281	97193
313	44405	97014
314	44538	96853
315	44713	96785
316	44924	96793
317	45097	96718
318	45265	96632
319	45405	96485
320	45527	96303
321	45659	96139
322	45796	95987
323	45927	95823
324	46081	95707
325	46235	95591
326	46369	95432
327	46502	95273
328	46644	95131
329	46801	95020
330	46963	94920
331	47102	94773
332	47250	94642
333	47375	94467
334	47513	94317
335	47650	94167
336	47785	94011
337	47929	93873
338	48094	93776
339	48245	93652
340	48378	93493
341	48514	93341
342	48657	93201
343	48848	93152
344	48982	92995
345	49135	92874
346	49279	92736
347	49416	92585
348	49585	92494
349	49742	92378
350	49882	92233
351	50046	92130
352	50199	92007
353	50348	91878
354	50480	91718
355	50618	91567
356	50768	91439
357	50917	91309
358	51066	91179
359	51190	91006
360	51333	90865
361	51475	90721
362	51637	90613
363	51814	90533
364	51955	90387
365	52122	90289
366	52287	90185
367	52434	90050
368	52589	89930
369	52791	89888
370	53005	89866
371	53209	89826
372	53392	89751
373	53536	89609
374	53683	89472
375	53819	89317
376	53962	89173
377	54157	89116
378	54312	88992
379	54455	88849
380	54607	88719
381	54752	88577
382	54872	88397
383	55002	88233
384	55139	88080
385	55286	87942
386	55435	87809
387	55598	87697
388	55748	87564
389	55901	87436
390	56096	87372
391	56228	87212
392	56411	87129
393	56575	87017
394	56733	86895
395	56873	86747
396	57008	86590
397	57155	86451
398	57289	86293
399	57410	86115
400	57550	85967
401	57679	85802
402	57878	85740
403	58017	85590
404	58153	85435
405	58333	85344
406	58466	85185
407	58614	85048
408	58760	84908
409	58929	84800
410	59162	84785
411	59314	84652
412	59439	84481
413	59571	84321
414	59717	84179
415	59950	84161
416	60108	84036
417	60251	83891
418	60419	83779
419	60558	83628
420	60682	83456
421	60810	83290
422	60940	83126
423	61093	82995
424	61244	82859
425	61399	82730
426	61531	82569
427	61694	82452
428	61844	82315
429	61975	82154
430	62126	82017
431	62300	81913
432	62452	81779
433	62583	81617
434	62727	81473
435	62878	81338
436	63018	81188
437	63155	81035
438	63298	80889
439	63437	80739
440	63576	80588
441	63705	80424
442	63847	80278
443	63987	80128
444	64118	79968
445	64271	79834
446	64407	79680
447	64560	79547
448	64722	79425
449	64879	79297
450	65027	79158
451	65152	78989
452	65293	78841
453	65430	78689
